"ProposedWorkID","MuralName","HeroImageFormula","PublicHeroImageURL","DetailPageURL","LocalDetailFile","DetailExists","ExistingWorkIDsInPage","YearFromPage","LocationFromPage","PageTitle","IndexImageRelativePath","HeroImageInPage","HeroImagePublicURLFromPage","HeroFileExists","HasGalleryToPreserve","GalleryImageCount","GalleryImages","SourceLinkCount","HasPublishedViaFooter","RecommendedAction"
"RE-012003","Corey Helford, 2015","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/corey-helford-2015.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/corey-helford-2015.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/corey-helford-2015.html","corey-helford-2015.html","Yes","","2015 (December 8)","Corey Helford Gallery, 571 S. Anderson Street, Los Angeles, California, United States","Corey Helford, 2015","../images/murals/corey-helford-2015.jpg","../images/murals/corey-helford-2015.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/corey-helford-2015.jpg","Yes","Yes","2","../images/murals/monarch-2.jpg | ../images/murals/monarch-3.jpg","5","No","Convert page format; preserve gallery and sources"
"RE-012004","Mindstyle, China, 2015","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/mindstyle-china.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/mindstyle-china.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/mindstyle-china-2015.html","mindstyle-china-2015.html","Yes","","2015","MINDstyle / Pop Life Global headquarters, China","MINDstyle, China, 2015","../images/murals/mindstyle-china.jpg","../images/murals/mindstyle-china.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/mindstyle-china.jpg","Yes","No","0","","4","No","Convert page format"
"RE-012005","Not a Crime, 2015","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/Monkeys-Mural.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/Monkeys-Mural.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/notacrime-2015.html","notacrime-2015.html","Yes","","2015","New York City, New York, United States","#NotACrime, 2015","../images/murals/Monkeys-Mural.jpg","../images/murals/Monkeys-Mural.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/Monkeys-Mural.jpg","Yes","No","0","","5","No","Convert page format"
"RE-012006","RXSM, Spiderhouse, 2015","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/RSXM.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/RSXM.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/rxsm-spiderhouse-2015.html","rxsm-spiderhouse-2015.html","Yes","","2015","Spider House Cafe & Ballroom, Austin, Texas, United States","RXSM / Spider House Ballroom, 2015","../images/murals/RSXM.jpg","../images/murals/RSXM-1.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/RSXM-1.jpg","Yes","Yes","3","../images/murals/RSXM-2.jpg | ../images/murals/RSXM-3.jpg | ../images/murals/RSXM-4.jpg","5","No","Convert page format; preserve gallery and sources"
"RE-012007","Spider House Face, 2015","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/spiderhouse-face.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/spiderhouse-face.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/spider-house-face-2015.html","spider-house-face-2015.html","Yes","","2015","Spider House, Austin, Texas, United States","Spider House Face, 2015","../images/murals/spiderhouse-face.jpg","../images/murals/spiderhouse-face.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/spiderhouse-face.jpg","Yes","No","0","","4","No","Convert page format"
"RE-012008","Temper Tot, Little Italy, 2015","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/little-italy-2015.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/little-italy-2015.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/temper-tot-little-italy-2015.html","temper-tot-little-italy-2015.html","Yes","","2015","Little Italy (Mulberry Street), Manhattan, New York, United States","Temper Tot, Little Italy, 2015","../images/murals/little-italy-2015.jpg","../images/murals/little-italy-2015.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/little-italy-2015.jpg","Yes","Yes","1","../images/murals/Little-Italy-3.jpg","5","No","Convert page format; preserve gallery and sources"
"RE-012009","Victoria, 2015","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/victoria-2015.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/victoria-2015.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/victoria-2015.html","victoria-2015.html","Yes","","2015 (March 18â€“22)","Downtown Victoria, Texas, United States","Victoria, 2015","../images/murals/victoria-2015.jpg","../images/murals/victoria-1.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/victoria-1.jpg","Yes","Yes","2","../images/murals/victoria-2.jpg | ../images/murals/victoria-3.jpg","8","No","Convert page format; preserve gallery and sources"
"RE-012010","ComplexCon, 2016","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/complexcon.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/complexcon.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/complexcon-2016.html","complexcon-2016.html","Yes","","2016","â€”","ComplexCon, 2016","../images/murals/complexcon.jpg","../images/murals/complexcon.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/complexcon.jpg","Yes","No","0","","0","No","Convert page format"
"RE-012011","Dubai, 2016","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/dubai.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/dubai.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/dubai-2016.html","dubai-2016.html","Yes","","2016 (March)","City Walk, Dubai, United Arab Emirates","Dubai, 2016","../images/murals/dubai.jpg","../images/murals/dubaiL.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/dubaiL.jpg","Yes","Yes","4","../images/murals/Dubai-2016-1.jpg | ../images/murals/Dubai-2016-2.jpg | ../images/murals/dubaiM1.jpg | ../images/murals/dubaiM2.jpg","7","No","Convert page format; preserve gallery and sources"
"RE-012012","Magic City, Dresden, 2016","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/dresden.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/dresden.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/magic-city-dresden-2016.html","magic-city-dresden-2016.html","Yes","","2016","MAGIC CITY â€“ The Art of the Street, Dresden, Germany","Magic City, Dresden, 2016","../images/murals/dresden.jpg","../images/murals/dresden.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/dresden.jpg","Yes","Yes","1","../images/murals/Dresden2.jpg","6","No","Convert page format; preserve gallery and sources"
"RE-012013","Berlin Wassertor, 2017","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/wassertor-berlin.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/wassertor-berlin.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/berlin-wassertor-2017.html","berlin-wassertor-2017.html","Yes","","2017 (September)","WassertorstraÃƒÅ¸e 64, Kreuzberg, Berlin, Germany","Berlin Wassertor, 2017","../images/murals/wassertor-berlin.jpg","../images/murals/wassertor-berlin.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/wassertor-berlin.jpg","Yes","Yes","2","../images/murals/Wassertor-Berlin-1.jpg | ../images/murals/Wassertor-Berlin-2.jpg","3","No","Convert page format; preserve gallery and sources"
"RE-012014","Decatur Elefanka, 2017","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/elefanka-decatur.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/elefanka-decatur.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/decatur-elefanka-2017.html","decatur-elefanka-2017.html","Yes","","2017","Kenâ€™s Aquarium & Pet Supply, 730 E. Cerro Gordo Street, Decatur, Illinois, United States","Decatur Elefanka, 2017","../images/murals/elefanka-decatur.jpg","../images/murals/elefanka-decaturL.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/elefanka-decaturL.jpg","Yes","Yes","1","../images/murals/Decatur2.jpg","3","No","Convert page format; preserve gallery and sources"
"RE-012015","Manhattan Runners, 2017","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/manhattan-runners.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/manhattan-runners.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/manhattan-runners-2017.html","manhattan-runners-2017.html","Yes","","2017","1st Avenue at St. Marks Place, Manhattan, New York, United States","Manhattan Runners, 2017","../images/murals/manhattan-runners.jpg","../images/murals/manhattan-runners.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/manhattan-runners.jpg","Yes","Yes","2","../images/murals/Runners.jpg | ../images/murals/Runners2.jpg","1","No","Convert page format; preserve gallery and sources"
"RE-012016","Mural Festival, Montreal, 2017","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/Montreal-Mona-Mural.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/Montreal-Mona-Mural.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/mural-festival-2017-montreal.html","mural-festival-2017-montreal.html","Yes","","2017","Boulevard Saint-Laurent, MontrÃ©al, Quebec, Canada","MURAL Festival, Montreal, 2017","../images/murals/Montreal-Mona-Mural.jpg","../images/murals/Montreal-Mona-Mural.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/Montreal-Mona-Mural.jpg","Yes","Yes","3","../images/murals/Montreal-Mona-Mural-3.jpg | ../images/murals/Montreal-Mona-Mural-4.jpg | ../images/murals/Montreal-Mona-Mural-2.jpg","4","No","Convert page format; preserve gallery and sources"
"RE-012017","One Wall, 2017","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/one-wall.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/one-wall.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/one-wall-2017.html","one-wall-2017.html","Yes","","2017","SchÃ¶neberg, Berlin, Germany","ONE WALL, 2017","../images/murals/one-wall.jpg","../images/murals/one-wallL.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/one-wallL.jpg","Yes","Yes","2","../images/murals/OneWall2.jpg | ../images/murals/OneWall3.jpg","3","No","Convert page format; preserve gallery and sources"
"RE-012018","Trumpty Dumpty, 2017","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/trumpty-dumpty.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/trumpty-dumpty.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/trumpty-dumpty-2017.html","trumpty-dumpty-2017.html","Yes","","2017","Troutman Street, Bushwick, Brooklyn, New York, United States","Trumpty Dumpty, 2017","../images/murals/trumpty-dumpty.jpg","../images/murals/trumpty-dumpty.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/trumpty-dumpty.jpg","Yes","No","0","","5","No","Convert page format"
"RE-012019","Beacon PopMart, 2018","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/beacon-popmart.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/beacon-popmart.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/beacon-popmart-2018.html","beacon-popmart-2018.html","Yes","","2018","45 Beekman Street, Beacon, New York, United States","Beacon PopMart, 2018","../images/murals/beacon-popmart.jpg","../images/murals/beacon-popmart.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/beacon-popmart.jpg","Yes","No","0","","3","No","Convert page format"
"RE-012020","Proam, Studio City 7th Floor, 2018","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/proam.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/proam.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/proam-studio-city-7th-floor-2018.html","proam-studio-city-7th-floor-2018.html","Yes","","2018","ProAm Studio City building, Changping Town, Dongguan, Guangdong, China","ProAm Studio City, 7th Floor, 2018","../images/murals/proam.jpg","../images/murals/proam.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/proam.jpg","Yes","Yes","11","../images/murals/PROAM1.jpg | ../images/murals/PROAM2.jpg | ../images/murals/PROAM3.jpg | ../images/murals/PROAM4.jpg | ../images/murals/PROAM5.jpg | ../images/murals/PROAM6.jpg | ../images/murals/PROAM7.jpg | ../images/murals/PROAM8.jpg | ../images/murals/PROAM9.jpg | ../images/murals/PROAM10.jpg | ../images/murals/PROAM11.jpg","5","No","Convert page format; preserve gallery and sources"
"RE-012021","Wynwood, 2018","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/wynwood-walls-2018.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/wynwood-walls-2018.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/wynwood-2018.html","wynwood-2018.html","Yes","","2018","Wynwood Walls, Miami, Florida, United States","Wynwood Walls, 2018","../images/murals/wynwood-walls-2018.jpg","../images/murals/wynwood-walls-2018L.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/wynwood-walls-2018L.jpg","Yes","Yes","5","../images/murals/Wyn-1.jpg | ../images/murals/Wyn-2.jpg | ../images/murals/Wyn-3.jpg | ../images/murals/Wyn-4.jpg | ../images/murals/Wyn-5.jpg","3","No","Convert page format; preserve gallery and sources"
"RE-012022","Basel, 2019","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/basel2019.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/basel2019.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/basel-2019.html","basel-2019.html","Yes","","2019","Wynwood and Miami Design District, Miami, Florida, United States","Basel, 2019","../images/murals/basel2019.jpg","../images/murals/basel2019.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/basel2019.jpg","Yes","Yes","3","../images/murals/Basel2019-1.jpg | ../images/murals/Basel2019-2.jpg | ../images/murals/Basel2019-3.jpg","5","No","Convert page format; preserve gallery and sources"
"RE-012023","Elefanka, Lyon, 2019","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/lyon.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/lyon.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/elefanka-lyon-2019.html","elefanka-lyon-2019.html","Yes","","2019 (approx.)","Lyon, France","Elefanka, Lyon, 2019","../images/murals/lyon.jpg","../images/murals/lyonL.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/lyonL.jpg","No","No","0","","4","No","Convert page format"
"RE-012024","Elefanka Mousezilla, 2019","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/elef.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/elef.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/elefanka-mousezilla-2019.html","elefanka-mousezilla-2019.html","Yes","","2019","Erie Street basketball court, 266 Erie Street, Jersey City, New Jersey, United States","Elefanka and Mousezilla, 2019","../images/murals/elef.jpg","../images/murals/elef.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/elef.jpg","Yes","No","0","","8","No","Convert page format"
"RE-012025","K11 Musea, 2019","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/k11.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/k11.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/k11-musea-2019.html","k11-musea-2019.html","Yes","","2019","Opera Theatre, K11 MUSEA, Hong Kong","K11 MUSEA, 2019","../images/murals/k11.jpg","../images/murals/k11.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/k11.jpg","Yes","Yes","1","../images/murals/K11-Mural.jpg","5","No","Convert page format; preserve gallery and sources"
"RE-012026","Miami PopMart, 2019","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/miami-popmart.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/miami-popmart.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/miami-popmart-2019.html","miami-popmart-2019.html","Yes","","2019","Wynwood, Miami, Florida, United States","Miami PopMart, 2019","../images/murals/miami-popmart.jpg","../images/murals/miami-popmart.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/miami-popmart.jpg","Yes","No","0","","5","No","Convert page format"
"RE-012027","Jersey City Mural Festival, 2021","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/jersey-rooftopL.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/jersey-rooftopL.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/jersey-city-mural-festival-2021.html","jersey-city-mural-festival-2021.html","Yes","","2021 (June 5â€“6)","Coles Street rooftop, Jersey City, New Jersey, United States","Jersey City Mural Festival, 2021","../images/murals/jersey-rooftopL.jpg","../images/murals/jersey-rooftopL.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/jersey-rooftopL.jpg","Yes","Yes","5","../images/murals/Jersey-Rooftop-Mural-2.jpg | ../images/murals/Jersey-Rooftop-Mural-3.jpg | ../images/murals/Jersey-Rooftop-Mural-4.jpg | ../images/murals/Jersey-Rooftop-Mural-5.jpg | ../images/murals/Jersey-Rooftop-Mural-6.jpg","8","No","Convert page format; preserve gallery and sources"
"RE-012028","Last Supper, Delusionville, 2021","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/last-supper.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/last-supper.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/last-supper-delusionville-2021.html","last-supper-delusionville-2021.html","Yes","","2021 (December)","Wynwood, Miami, Florida, United States","Last Supper in Delusionville, 2021","../images/murals/last-supper.jpg","../images/murals/last-supperL.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/last-supperL.jpg","Yes","Yes","4","../images/murals/Last-Supper-1.jpg | ../images/murals/Last-Supper-2.jpg | ../images/murals/Last-Supper-3.jpg | ../images/murals/Last-Supper-5.webp","6","No","Convert page format; preserve gallery and sources"
"RE-012029","Punk Pink Skunk, 2021","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/punkpink.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/punkpink.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/punk-pink-skunk-2021.html","punk-pink-skunk-2021.html","Yes","","2021","Coney Art Walls, Coney Island, Brooklyn, New York, United States","Punk & Pink Skunk, 2021","../images/murals/punkpink.jpg","../images/murals/punkpink.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/punkpink.jpg","Yes","No","0","","5","No","Convert page format"
"RE-012030","LCCC, DC, 2022","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/lccc.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/lccc.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/lccc-dc-2022.html","lccc-dc-2022.html","Yes","","2022 (March 4)","Washington, D.C., United States","LCCC, DC, 2022","../images/murals/lccc.jpg","../images/murals/lcccL.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/lcccL.jpg","Yes","No","0","","7","No","Convert page format"
"RE-012031","Plessy School, New Orleans, 2022","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/nola.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/nola.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/plessy-school-new-orleans-2022.html","plessy-school-new-orleans-2022.html","Yes","","2022 (May 27)","Plessy School, New Orleans, Louisiana, United States","Plessy School, New Orleans, 2022","../images/murals/nola.jpg","../images/murals/nolaL.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/nolaL.jpg","Yes","Yes","1","../images/murals/NOLA-2022-2.jpg","4","No","Convert page format; preserve gallery and sources"
"RE-012032","Texas Tantrum Trots and Pals, 2022","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/texas-tantrum.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/texas-tantrum.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/texas-tantrum-trots-and-pals.html","texas-tantrum-trots-and-pals.html","Yes","","2022 (November)","Deep Ellum, Dallas, Texas, United States","Texas Tantrum Tots and Pals, 2022","../images/murals/texas-tantrum.jpg","../images/murals/texas-tantrumL.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/texas-tantrumL.jpg","Yes","No","0","","5","No","Convert page format"
"RE-012033","Grin Mural, 2024","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/grin-mural.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/grin-mural.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/grin-mural-2024.html","grin-mural-2024.html","Yes","","2024","Greenpoint, Brooklyn, New York, United States","Grin Mural, 2024","../images/murals/grin-mural.jpg","../images/murals/grin-mural.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/grin-mural.jpg","Yes","No","0","","5","No","Convert page format"
"RE-012034","St. Louis Loop Mural, 2024","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/loop-festival.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/loop-festival.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/stlouis-loop-mural-2024.html","stlouis-loop-mural-2024.html","Yes","","2024 (May 31)","Delmar Loop, St. Louis, Missouri, United States","St. Louis Loop Mural, 2024","../images/murals/loop-festival.jpg","../images/murals/loop-festival.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/loop-festival.jpg","Yes","No","0","","4","No","Convert page format"
